,영화명,감독,배급사,개봉일,영화형태,국적,전국 스크린수,전국 매출액,전국 관객수,장르,등급,영화구분,연도,월,계절,총 관객수,출연,평점
10,설국열차,봉준호,씨제이이엔엠,2013-08-01,장편,한국,1128,64016480000,8914845,SF,15세관람가,일반영화,2013,8,여름,213351030,"['크리스 에반스', '송강호', '에드 해리스', '존 허트', '틸다 스윈튼', '제이미 벨', '옥타비아 스펜서', '이완 브렘너', '알리슨 필', '고아성']",7.98
11,캡틴 아메리카: 시빌 워,안소니 루소,월트디즈니스튜디오스코리아,2016-04-27,장편,미국,1991,72672111827,8677249,액션,12세관람가,일반영화,2016,4,봄,217026182,"['로버트 다우니 주니어', '크리스 에반스', '스칼릿 조핸슨']",8.67
12,수상한 그녀,황동혁,씨제이이엔엠,2014-01-22,장편,한국,692,62696639249,8656397,드라마,15세관람가,일반영화,2014,1,겨울,215068958,"['심은경', '나문희', '박인환', '성동일', '이진욱']",9.01
13,해적: 바다로 간 산적,이석훈,롯데엔터테인먼트,2014-08-06,장편,한국,838,66240631706,8646758,어드벤처,12세관람가,일반영화,2014,8,여름,215068958,"['김남길', '손예진']",8.28
14,국가대표,김용화,쇼박스,2009-07-29,장편,한국,580,60896633308,8487894,드라마,12세관람가,일반영화,2009,7,여름,155398654,"['하정우', '성동일', '김지석', '김동욱', '최재환', '이재응', '이은성']",9.13
15,백두산,김병서,씨제이이엔엠,2019-12-19,장편,한국,1971,69825366300,8252669,어드벤처,12세관람가,일반영화,2019,12,겨울,226678777,"['이병헌', '하정우', '마동석', '전혜진', '수지']",5.74
16,과속스캔들,강형철,롯데엔터테인먼트,2008-12-03,장편,한국,405,53940101534,8245523,코미디,12세관람가,일반영화,2008,12,겨울,147428639,"['차태현', '박보영', '왕석현']",9.2
17,탑건: 매버릭,조셉 코신스키,롯데컬처웍스롯데엔터테인먼트,2022-06-22,장편,미국,1975,87855360975,8177446,액션,12세관람가,일반영화,2022,6,여름,112805094,"['톰 크루즈', '제니퍼 코넬리', '마일즈 텔러']",9.76
18,스파이더맨: 파 프롬 홈,존 왓츠,소니픽쳐스엔터테인먼트코리아극장배급지점,2019-07-02,장편,미국,2142,69000711100,8020208,액션,12세관람가,일반영화,2019,7,여름,226678777,"['톰 홀랜드', '사무엘 L. 잭슨', '젠데이아 콜먼']",8.33
19,공조,김성훈,씨제이이엔엠,2017-01-18,장편,한국,976,63781731326,7817446,액션,15세관람가,일반영화,2017,1,겨울,219876227,"['현빈', '유해진', '김주혁']",8.26
20,트랜스포머 3,마이클 베이,씨제이이엔엠,2011-06-29,장편,미국,1409,74841350500,7784807,액션,12세관람가,일반영화,2011,6,여름,159724465,"['샤이아 라보프', '로지 헌팅턴 휘틀리', '조쉬 더하멜', '휴고 위빙', '패트릭 뎀시', '레너드 니모이', '타이레스 깁슨', '존 말코비치', '켄 정', '프란시스 맥도맨드', '존 터투로']",7.06
21,히말라야,이석훈,씨제이이엔엠,2015-12-16,장편,한국,1009,60173583015,7759473,드라마,12세관람가,일반영화,2015,12,겨울,217299523,"['황정민', '정우']",7.99
22,미션임파서블:고스트프로토콜,브래드 버드,씨제이이엔엠,2011-12-15,장편,미국,1038,57795846000,7575899,액션,15세관람가,일반영화,2011,12,겨울,159724465,"['톰 크루즈', '제레미 레너']",8.74
23,스파이더맨: 노 웨이 홈,존 왓츠,소니픽쳐스엔터테인먼트코리아극장배급지점,2021-12-15,장편,미국,2948,75193912210,7551990,액션,12세관람가,일반영화,2021,12,겨울,60531087,"['톰 홀랜드', '젠데이아 콜먼', '베네딕트 컴버배치', '존 파브로', '제이콥 배덜런', '마리사 토메이', '알프리드 몰리나']",8.77
24,트랜스포머: 패자의 역습,마이클 베이,씨제이이엔엠,2009-06-24,장편,미국,1129,51478531663,7505700,SF,12세관람가,일반영화,2009,6,여름,155398654,"['샤이아 라보프', '메간 폭스', '휴고 위빙', '조쉬 더하멜', '존 터투로']",8.11
25,밀정,김지운,워너브러더스 코리아,2016-09-07,장편,한국,1444,61158644831,7487545,액션,15세관람가,일반영화,2016,9,가을,217026182,"['송강호', '공유']",8.45
26,최종병기 활,김한민,롯데엔터테인먼트,2011-08-10,장편,한국,615,55808856500,7466976,사극,15세관람가,일반영화,2011,8,여름,159724465,"['박해일', '류승룡', '김무열', '문채원']",7.87
27,써니,강형철,씨제이이엔엠,2011-05-04,장편,한국,472,53773170600,7328820,드라마,15세관람가,일반영화,2011,5,봄,159724465,"['유호정', '심은경', '강소라', '고수희', '김민영', '홍진희', '박진주', '이연경', '남보라', '김보미', '민효린']",9.12
28,한산: 용의 출현,김한민,롯데컬처웍스롯데엔터테인먼트,2022-07-27,장편,한국,2223,73700628377,7264934,액션,12세관람가,일반영화,2022,7,여름,112805094,"['박해일', '변요한', '안성기', '손현주', '김성규', '김성균', '김향기', '택연', '공명', '박지환', '조재윤']",8.74
29,스파이더맨: 홈 커밍,존 왓츠,소니픽쳐스엔터테인먼트코리아극장배급지점,2017-07-05,장편,미국,1965,59120173820,7257973,액션,12세관람가,일반영화,2017,7,여름,219876227,"['톰 홀랜드', '마이클 키튼']",8.35
30,1987,장준환,씨제이이엔엠,2017-12-27,장편,한국,1299,58165581145,7231638,드라마,15세관람가,일반영화,2017,12,겨울,219876227,"['김윤석', '하정우', '유해진', '김태리', '박희순', '이희준']",9.23
31,베를린,류승완,씨제이이엔엠,2013-01-30,장편,한국,894,52354931637,7166199,액션,15세관람가,일반영화,2013,1,겨울,213351030,"['하정우', '한석규', '류승범', '전지현', '이경영']",7.84
32,마스터,조의석,씨제이이엔엠,2016-12-21,장편,한국,1501,58067927865,7150541,액션,15세관람가,일반영화,2016,12,겨울,217026182,"['이병헌', '강동원', '김우빈', '엄지원', '오달수', '진경']",8.11
33,터널,김성훈,쇼박스,2016-08-10,장편,한국,1105,57510324417,7118592,드라마,12세관람가,일반영화,2016,8,여름,217026182,"['하정우', '배두나', '오달수']",8.37
34,어벤져스,조스 웨던,월트디즈니스튜디오스코리아,2012-04-26,장편,미국,967,59557853478,7074867,액션,12세관람가,일반영화,2012,4,봄,194890587,"['로버트 다우니 주니어', '스칼릿 조핸슨', '크리스 헴스워스', '크리스 에반스', '마크 러팔로', '제레미 레너', '사무엘 L. 잭슨', '톰 히들스턴']",8.8
35,내부자들,우민호,쇼박스,2015-11-19,장편,한국,1075,56596582057,7071763,범죄,청소년관람불가,일반영화,2015,11,가을,217299523,"['이병헌', '조승우', '백윤식']",9.01
36,인천상륙작전,이재한,씨제이이엔엠,2016-07-27,장편,한국,1049,55101410303,7049643,전쟁,12세관람가,일반영화,2016,7,여름,217026182,"['이정재', '이범수', '리암 니슨', '진세연']",8.04
37,공조2: 인터내셔날,이석훈,씨제이이엔엠,2022-09-07,장편,한국,2389,70884583586,6979319,액션,15세관람가,일반영화,2022,9,가을,112805094,"['현빈', '유해진', '윤아', '다니엘 헤니', '진선규']",8.32
38,은밀하게 위대하게,장철수,쇼박스,2013-06-05,장편,한국,1341,48663939413,6953800,액션,15세관람가,일반영화,2013,6,여름,213351030,"['김수현', '박기웅', '이현우', '손현주']",7.12
39,곡성,나홍진,이십세기폭스코리아,2016-05-12,장편,한국,1485,55853108382,6878264,미스터리,15세관람가,일반영화,2016,5,봄,217026182,"['곽도원', '황정민', '쿠니무라 준', '천우희', '김환희']",7.62
40,범죄도시,강윤성,플러스엠 엔터테인먼트,2017-10-03,장편,한국,1315,56077813249,6851297,범죄,청소년관람불가,일반영화,2017,10,가을,219876227,"['마동석', '윤계상']",9.15
41,"좋은 놈, 나쁜 놈, 이상한 놈",김지운,씨제이이엔엠,2008-07-17,장편,한국,825,43768628939,6686912,서부극(웨스턴),15세관람가,일반영화,2008,7,여름,147428639,"['송강호', '이병헌', '정우성']",7.74
42,늑대소년,조성희,씨제이이엔엠,2012-10-31,장편,한국,706,46593107500,6654837,멜로/로맨스,15세관람가,일반영화,2012,10,가을,194890587,"['송중기', '박보영']",8.66
43,군함도,류승완,씨제이이엔엠,2017-07-26,장편,한국,2027,50510565168,6592151,액션,15세관람가,일반영화,2017,7,여름,219876227,"['황정민', '소지섭', '송중기', '이정현', '김수안']",5.3
44,미션 임파서블: 폴아웃,크리스토퍼 맥쿼리,롯데컬처웍스롯데엔터테인먼트,2018-07-25,장편,미국,1957,55888375112,6584915,액션,15세관람가,일반영화,2018,7,여름,216385269,"['톰 크루즈', '레베카 퍼거슨', '헨리 카빌', '사이먼 페그']",9.12
45,다크 나이트 라이즈,크리스토퍼 놀란,워너브러더스 코리아,2012-07-19,장편,미국,1210,47644838000,6396528,액션,15세관람가,일반영화,2012,7,여름,194890587,"['크리스찬 베일', '조셉 고든 레빗', '게리 올드만', '앤 해서웨이', '톰 하디', '마리옹 꼬띠아르', '마이클 케인', '모건 프리먼']",9.03
46,아저씨,이정범,씨제이이엔엠,2010-08-04,장편,한국,478,47870792359,6282774,액션,청소년관람불가,일반영화,2010,8,여름,147759214,"['원빈', '김새론']",9.25
47,사도,이준익,쇼박스,2015-09-16,장편,한국,1210,48842902501,6246849,사극,12세관람가,일반영화,2015,9,가을,217299523,"['송강호', '유아인', '문근영']",8.3
48,전우치,최동훈,씨제이이엔엠,2009-12-23,장편,한국,606,44605437017,6136928,액션,12세관람가,일반영화,2009,12,겨울,155398654,"['강동원', '김윤석', '임수정', '유해진']",8.22
49,미션 임파서블: 로그네이션,크리스토퍼 맥쿼리,롯데엔터테인먼트,2015-07-30,장편,미국,1202,48547353607,6126488,액션,15세관람가,일반영화,2015,7,여름,217299523,"['톰 크루즈', '제레미 레너', '레베카 퍼거슨', '사이먼 페그', '알렉 볼드윈']",8.75
50,킹스맨 : 시크릿 에이전트,매튜 본,이십세기폭스코리아,2015-02-11,장편,미국,706,50333635795,6125154,액션,청소년관람불가,일반영화,2015,2,겨울,217299523,"['콜린 퍼스', '태런 에저튼', '사무엘 L. 잭슨']",8.82
51,연평해전,김학순,넥스트엔터테인먼트월드,2015-06-24,장편,한국,1013,45560620330,6043458,드라마,12세관람가,일반영화,2015,6,여름,217299523,"['김무열', '진구', '이현우']",9.02
52,인셉션,크리스토퍼 놀란,디스테이션,2010-07-21,장편,미국,528,44106546302,5926948,드라마,12세관람가,일반영화,2010,7,여름,147759214,"['레오나르도 디카프리오', '와타나베 켄', '조셉 고든 레빗', '마리옹 꼬띠아르', '엘리엇 페이지', '톰 하디']",9.24
53,레미제라블,톰 후퍼,유니버설픽쳐스인터내셔널 코리아,2012-12-19,장편,미국,696,43044999000,5911890,드라마,12세관람가,일반영화,2012,12,겨울,194890587,"['휴 잭맨', '앤 해서웨이', '러셀 크로우', '아만다 사이프리드', '헬레나 본햄 카터', '사샤 바론 코헨']",8.39
54,닥터 스트레인지: 대혼돈의 멀티버스,샘 레이미,월트디즈니스튜디오스코리아,2022-05-04,장편,미국,2691,62648728870,5884587,액션,12세관람가,일반영화,2022,5,봄,112805094,"['베네딕트 컴버배치', '엘리자베스 올슨']",7.21
55,캡틴 마블,라이언 플렉,월트디즈니스튜디오스코리아,2019-03-06,장편,미국,2100,51491272223,5801069,액션,12세관람가,일반영화,2019,3,봄,226678777,"['브리 라슨', '사무엘 L. 잭슨', '벤 멘델슨', '주드 로']",6.75
56,쥬라기 월드: 폴른 킹덤,후안 안토니오 바요나,유니버설픽쳐스인터내셔널 코리아,2018-06-06,장편,미국,1972,49770711037,5661128,액션,12세관람가,일반영화,2018,6,여름,216385269,"['크리스 프랫', '브라이스 달라스 하워드']",8.0
57,청년경찰,김주환,롯데엔터테인먼트,2017-08-09,장편,한국,1102,44241099316,5636259,액션,15세관람가,일반영화,2017,8,여름,219876227,"['박서준', '강하늘']",8.27
58,숨바꼭질,허정,넥스트엔터테인먼트월드,2013-08-14,장편,한국,779,39593038500,5602543,스릴러,15세관람가,일반영화,2013,8,여름,213351030,"['손현주', '문정희', '전미선']",6.74
59,숨바꼭질,허정,넥스트엔터테인먼트월드,2013-08-14,장편,한국,779,39593038500,5602543,스릴러,15세관람가,일반영화,2013,8,여름,213351030,"['로버트 드 니로', '다코타 패닝']",7.09
60,숨바꼭질,허정,넥스트엔터테인먼트월드,2013-08-14,장편,한국,779,39593038500,5602543,스릴러,15세관람가,일반영화,2013,8,여름,213351030,"['로버트 드 니로', '다코타 패닝']",7.09
61,덕혜옹주,허진호,롯데엔터테인먼트,2016-08-03,장편,한국,964,44344141109,5593551,사극,12세관람가,일반영화,2016,8,여름,217026182,"['손예진', '박해일']",8.35
62,더 테러 라이브,김병우,롯데엔터테인먼트,2013-07-31,장편,한국,743,39866712881,5583596,범죄,15세관람가,일반영화,2013,7,여름,213351030,"['하정우', '이경영', '전혜진']",8.3
63,쥬라기 월드,콜린 트레보로우,유니버설픽쳐스인터내셔널 코리아,2015-06-11,장편,미국,1290,47800698826,5546792,액션,12세관람가,일반영화,2015,6,여름,217299523,"['크리스 프랫', '브라이스 달라스 하워드', '빈센트 도노프리오', '타이 심킨스', '닉 로빈슨']",7.89
64,의형제,장훈,쇼박스,2010-02-04,장편,한국,572,40800867602,5507106,드라마,15세관람가,일반영화,2010,2,겨울,147759214,"['송강호', '강동원']",8.87
65,감시자들,김병서,넥스트엔터테인먼트월드,2013-07-03,장편,한국,949,39298005179,5496547,범죄,15세관람가,일반영화,2013,7,여름,213351030,"['설경구', '정우성', '한효주']",7.76
66,2012,롤랜드 에머리히,한국소니픽쳐스릴리징브에나비스타영화,2009-11-12,장편,미국,789,39415166660,5462953,SF,12세관람가,일반영화,2009,11,가을,155398654,"['존 쿠삭', '아만다 피트', '치웨텔 에지오포', '탠디 뉴튼', '올리버 플랫']",7.6
67,앤트맨과 와스프,페이튼 리드,월트디즈니스튜디오스코리아,2018-07-04,장편,미국,1775,47465443185,5447826,액션,12세관람가,일반영화,2018,7,여름,216385269,"['폴 러드', '에반젤린 릴리', '마이클 더글라스', '미셸 파이퍼', '로렌스 피시번', '마이클 페나', '해나 존-케이먼']",8.62
68,닥터 스트레인지,스콧 데릭슨,월트디즈니스튜디오스코리아,2016-10-26,장편,미국,1503,47482530396,5446379,액션,12세관람가,일반영화,2016,10,가을,217026182,"['베네딕트 컴버배치', '틸다 스윈튼', '치웨텔 에지오포', '레이첼 맥아담스', '매즈 미켈슨']",8.72
69,검은 사제들,장재현,씨제이이엔엠,2015-11-05,장편,한국,1088,42395347092,5440945,미스터리,15세관람가,일반영화,2015,11,가을,217299523,"['김윤석', '강동원']",8.33
70,안시성,김광식,넥스트엔터테인먼트월드,2018-09-19,장편,한국,1540,46335334026,5440186,사극,12세관람가,일반영화,2018,9,가을,216385269,"['조인성', '남주혁', '박성웅']",7.99
71,블랙 팬서,라이언 쿠글러,월트디즈니스튜디오스코리아,2018-02-14,장편,미국,1620,45883143457,5398994,액션,12세관람가,일반영화,2018,2,겨울,216385269,['채드윅 보스만'],7.51
72,완득이,이한,씨제이이엔엠,2011-10-20,장편,한국,500,38530503500,5310510,드라마,12세관람가,일반영화,2011,10,가을,159724465,"['김윤석', '유아인']",8.8
73,트랜스포머: 사라진 시대,마이클 베이,씨제이이엔엠,2014-06-25,장편,미국,1602,44012272845,5295801,액션,12세관람가,일반영화,2014,6,여름,215068958,"['마크 월버그', '니콜라 펠츠', '잭 레이너', '스탠리 투치', '리빙빙']",6.58
74,완벽한 타인,이재규,롯데컬처웍스롯데엔터테인먼트,2018-10-31,장편,한국,1313,44356752474,5294119,드라마,15세관람가,일반영화,2018,10,가을,216385269,"['유해진', '조진웅', '이서진', '염정아', '김지수', '송하윤', '윤경호']",8.61
75,조커,토드 필립스,워너브러더스 코리아,2019-10-02,장편,미국,1418,45442252130,5255228,액션,15세관람가,일반영화,2019,10,가을,226678777,['호아킨 피닉스'],8.66
76,월드 워 Z,마크 포스터,롯데엔터테인먼트,2013-06-20,장편,미국,964,38555357000,5237525,드라마,15세관람가,일반영화,2013,6,여름,213351030,"['브래드 피트', '미레유 에노스']",8.24
77,타워,김지훈,씨제이이엔엠,2012-12-25,장편,한국,617,37654858000,5181014,드라마,12세관람가,일반영화,2012,12,겨울,194890587,"['설경구', '손예진', '김상경']",8.02
78,미녀와 야수,빌 콘돈,월트디즈니스튜디오스코리아,2017-03-16,장편,미국,1627,42130589579,5137993,멜로/로맨스,전체관람가,일반영화,2017,3,봄,219876227,"['엠마 왓슨', '댄 스티븐스', '루크 에반스']",8.79
79,미녀와 야수,빌 콘돈,월트디즈니스튜디오스코리아,2017-03-16,장편,미국,1627,42130589579,5137993,멜로/로맨스,전체관람가,일반영화,2017,3,봄,219876227,"['뱅상 카셀', '레아 세이두']",7.72
80,미녀와 야수,빌 콘돈,월트디즈니스튜디오스코리아,2017-03-16,장편,미국,1627,42130589579,5137993,멜로/로맨스,전체관람가,일반영화,2017,3,봄,219876227,"['엠마 왓슨', '댄 스티븐스', '루크 에반스']",8.79
81,미녀와 야수,빌 콘돈,월트디즈니스튜디오스코리아,2017-03-16,장편,미국,1627,42130589579,5137993,멜로/로맨스,전체관람가,일반영화,2017,3,봄,219876227,"['뱅상 카셀', '레아 세이두']",7.72
82,미녀와 야수,빌 콘돈,월트디즈니스튜디오스코리아,2017-03-16,장편,미국,1627,42130589579,5137993,멜로/로맨스,전체관람가,일반영화,2017,3,봄,219876227,"['엠마 왓슨', '댄 스티븐스', '루크 에반스']",8.79
83,미녀와 야수,크리스토프 갱스,넥스트엔터테인먼트월드,2014-06-18,장편,프랑스,387,2385847300,315348,판타지,전체관람가,일반영화,2014,6,여름,215068958,"['엠마 왓슨', '댄 스티븐스', '루크 에반스']",8.79
84,미녀와 야수,크리스토프 갱스,넥스트엔터테인먼트월드,2014-06-18,장편,프랑스,387,2385847300,315348,판타지,전체관람가,일반영화,2014,6,여름,215068958,"['뱅상 카셀', '레아 세이두']",7.72
85,미녀와 야수,크리스토프 갱스,넥스트엔터테인먼트월드,2014-06-18,장편,프랑스,387,2385847300,315348,판타지,전체관람가,일반영화,2014,6,여름,215068958,"['엠마 왓슨', '댄 스티븐스', '루크 에반스']",8.79
86,미녀와 야수,크리스토프 갱스,넥스트엔터테인먼트월드,2014-06-18,장편,프랑스,387,2385847300,315348,판타지,전체관람가,일반영화,2014,6,여름,215068958,"['뱅상 카셀', '레아 세이두']",7.72
87,미녀와 야수,크리스토프 갱스,넥스트엔터테인먼트월드,2014-06-18,장편,프랑스,387,2385847300,315348,판타지,전체관람가,일반영화,2014,6,여름,215068958,"['엠마 왓슨', '댄 스티븐스', '루크 에반스']",8.79
88,추격자,나홍진,쇼박스,2008-02-14,장편,한국,435,33943278500,5071619,범죄,청소년관람불가,일반영화,2008,2,겨울,147428639,"['김윤석', '하정우']",9.09
89,독전,이해영,넥스트엔터테인먼트월드,2018-05-22,장편,한국,1357,43484892913,5063620,범죄,15세관람가,일반영화,2018,5,봄,216385269,"['조진웅', '류준열', '김주혁', '김성령', '박해준']",7.53
90,쿵푸팬더 2,여인영,씨제이이엔엠,2011-05-26,장편,미국,948,44298724500,5062722,애니메이션,전체관람가,일반영화,2011,5,봄,159724465,"['잭 블랙', '더스틴 호프만', '성룡', '안젤리나 졸리', '세스 로건', '루시 리우', '데이빗 크로스', '제임스 홍', '양자경', '장 끌로드 반담', '빅터 가버', '게리 올드만', '데니스 헤이스버트']",8.71
91,아쿠아맨,제임스 완,워너브러더스 코리아,2018-12-19,장편,미국,1285,44113456704,5038134,액션,12세관람가,일반영화,2018,12,겨울,216385269,"['앰버 허드', '제이슨 모모아', '윌렘 대포', '패트릭 윌슨', '니콜 키드먼', '돌프 룬드그렌']",8.36
92,공작,윤종빈,씨제이이엔엠,2018-08-08,장편,한국,1317,42759410176,4971261,드라마,12세관람가,일반영화,2018,8,여름,216385269,"['황정민', '이성민', '조진웅', '주지훈']",6.84
93,인사이드 아웃,피트 닥터,월트디즈니스튜디오스코리아,2015-07-09,장편,미국,777,38015586936,4968687,애니메이션,전체관람가,일반영화,2015,7,여름,217299523,"['에이미 포엘러', '필리스 스미스', '민디 캘링', '빌 헤이더', '루이스 블랙', '케이틀린 디아스', '카일 맥라클란', '다이안 레인']",9.09
94,킹스맨: 골든 서클,매튜 본,이십세기폭스코리아,2017-09-27,장편,미국,1687,40987484736,4945484,액션,청소년관람불가,일반영화,2017,9,가을,219876227,"['태런 에저튼', '줄리안 무어', '콜린 퍼스']",8.36
95,바람과 함께 사라지다,김주호,넥스트엔터테인먼트월드,2012-08-08,장편,한국,694,34524377161,4897551,코미디,12세관람가,일반영화,2012,8,여름,194890587,"['차태현', '오지호', '민효린', '성동일', '신정근', '고창석']",7.6
96,마션,리들리 스콧,월트디즈니스튜디오스코리아,2015-10-08,장편,미국,1132,39612764295,4875494,액션,12세관람가,일반영화,2015,10,가을,217299523,"['크리스틴 위그', '제시카 차스테인', '맷 데이먼', '케이트 마라', '제프 다니엘스', '세바스찬 스탠']",8.43
97,토르: 라그나로크,타이카 와이티티,월트디즈니스튜디오스코리아,2017-10-25,장편,미국,1640,39248432595,4857152,액션,12세관람가,일반영화,2017,10,가을,219876227,"['크리스 헴스워스', '톰 히들스턴', '케이트 블란쳇', '마크 러팔로']",8.85
98,어메이징 스파이더맨,마크 웹,한국소니픽쳐스릴리징브에나비스타영화,2012-06-28,장편,미국,1118,41163951235,4853123,액션,12세관람가,일반영화,2012,6,여름,194890587,"['앤드류 가필드', '엠마 스톤', '리스 이판', '마틴 쉰', '샐리 필드']",7.77
99,"님아, 그 강을 건너지 마오",진모영,CGV아트하우스,2014-11-27,장편,한국,206,37354452679,4801355,다큐멘터리,전체관람가,독립/예술영화,2014,11,가을,215068958,"['조병만', '강계열']",9.24
100,조선명탐정 : 각시투구꽃의 비밀,김석윤,쇼박스,2011-01-27,장편,한국,611,35841769500,4786259,코미디,12세관람가,일반영화,2011,1,겨울,159724465,"['김명민', '오달수', '한지민']",8.12
101,봉오동 전투,원신연,쇼박스,2019-08-07,장편,한국,1476,40514276538,4779501,사극,15세관람가,일반영화,2019,8,여름,226678777,"['유해진', '류준열', '조우진']",7.97
102,군도: 민란의 시대,윤종빈,쇼박스,2014-07-23,장편,한국,1394,36987755999,4774895,사극,15세관람가,일반영화,2014,7,여름,215068958,"['하정우', '강동원']",6.95
103,남산의 부장들,우민호,쇼박스,2020-01-22,장편,한국,1659,41223596650,4750104,드라마,15세관람가,일반영화,2020,1,겨울,59523967,"['이병헌', '이성민', '곽도원', '이희준', '김소진']",7.47
104,라이온 킹,존 파브로,월트디즈니스튜디오스코리아,2019-07-17,장편,미국,1936,41518977430,4743184,어드벤처,전체관람가,일반영화,2019,7,여름,226678777,"['도날드 글로버', '세스 로건', '치웨텔 에지오포', '제임스 얼 존스', '빌리 아이크너', '알프리 우다드', '비욘세']",8.27
105,범죄와의 전쟁: 나쁜놈들 전성시대,윤종빈,쇼박스,2012-02-02,장편,한국,699,36479147500,4710454,범죄,청소년관람불가,일반영화,2012,2,겨울,194890587,"['최민식', '하정우']",8.66
106,주토피아,리치 무어,월트디즈니스튜디오스코리아,2016-02-17,장편,미국,661,37077444042,4703245,애니메이션,전체관람가,일반영화,2016,2,겨울,217026182,"['지니퍼 굿윈', '제이슨 베이트먼', '샤키라', '알란 터딕', '이드리스 엘바', 'J.K. 시몬스']",9.36
107,엣지 오브 투모로우,더그 라이만,워너브러더스 코리아,2014-06-04,장편,미국,801,38703942201,4697142,액션,12세관람가,일반영화,2014,6,여름,215068958,"['톰 크루즈', '에밀리 블런트', '빌 팩스톤']",8.96
108,쿵푸 팬더,마크 오스본,씨제이이엔엠,2008-06-05,장편,미국,351,30000965000,4673009,애니메이션,전체관람가,일반영화,2008,6,여름,147428639,"['잭 블랙', '더스틴 호프만', '성룡', '루시 리우', '안젤리나 졸리', '이안 맥쉐인', '데이빗 크로스', '세스 로건']",9.02
109,신비한 동물사전,데이빗 예이츠,워너브러더스 코리아,2016-11-16,장편,미국,1431,39337263058,4666993,어드벤처,12세관람가,일반영화,2016,11,가을,217026182,"['에디 레드메인', '캐서린 워터스턴', '콜린 파렐', '앨리슨 수돌']",8.18
110,도가니,황동혁,씨제이이엔엠,2011-09-22,장편,한국,644,35566854800,4662822,드라마,청소년관람불가,일반영화,2011,9,가을,159724465,"['공유', '정유미']",9.27
111,내 아내의 모든 것,민규동,넥스트엔터테인먼트월드,2012-05-17,장편,한국,563,34222160500,4598583,코미디,15세관람가,일반영화,2012,5,봄,194890587,"['임수정', '이선균', '류승룡']",8.59
112,나쁜 녀석들: 더 무비,손용호,씨제이이엔엠,2019-09-11,장편,한국,1511,39560195124,4573902,범죄,15세관람가,일반영화,2019,9,가을,226678777,"['마동석', '김상중', '김아중', '장기용']",6.42
113,판도라,박정우,넥스트엔터테인먼트월드,2016-12-07,장편,한국,1166,35965733064,4571142,드라마,12세관람가,일반영화,2016,12,겨울,217026182,"['김남길', '김주현', '정진영', '김영애', '문정희', '김대명']",8.2
114,터미네이터 : 미래전쟁의 시작,맥지,롯데엔터테인먼트,2009-05-21,장편,미국,704,30146162133,4568891,SF,15세관람가,일반영화,2009,5,봄,155398654,"['크리스찬 베일', '샘 워싱턴', '안톤 옐친', '문 블러드굿']",8.19
