,영화명,감독,배급사,개봉일,출연
19,어벤져스: 인피니티 워,안소니 루소,월트디즈니스튜디오스코리아,2018-04-25,"['크리스 프랫', '조 샐다나', '브래들리 쿠퍼', '빈 디젤', '조슈 브롤린', '엘리자베스 올슨', '베네딕트 컴버배치', '스칼릿 조핸슨', '톰 홀랜드', '로버트 다우니 주니어', '크리스 헴스워스', '크리스 에반스', '마크 러팔로', '톰 히들스턴', '폴 베타니', '돈 치들', '채드윅 보스만', '데이브 바티스타', '안소니 마키']"
20,아바타: 물의 길,제임스 카메론,월트디즈니스튜디오스코리아,2022-12-14,"['시고니 위버', '스티븐 랭', '조 샐다나', '샘 워싱턴', '우나 채플린', '케이트 윈슬렛', '지오바니 리비시']"
21,어벤져스: 에이지 오브 울트론,조스 웨던,월트디즈니스튜디오스코리아,2015-04-23,"['로버트 다우니 주니어', '크리스 헴스워스', '마크 러팔로', '크리스 에반스', '스칼릿 조핸슨', '제레미 레너', '돈 치들', '제임스 스페이더', '사무엘 L. 잭슨']"
22,기생충,봉준호,씨제이이엔엠,2019-05-30,"['송강호', '이선균', '조여정', '최우식', '박소담', '이정은', '장혜진']"
23,겨울왕국,제니퍼 리,월트디즈니스튜디오스코리아,2014-01-16,"['크리스틴 벨', '이디나 멘젤']"
24,인터스텔라,크리스토퍼 놀란,워너브러더스 코리아,2014-11-06,"['매튜 맥커너히', '앤 해서웨이', '마이클 케인', '제시카 차스테인']"
25,보헤미안 랩소디,브라이언 싱어,월트디즈니스튜디오스코리아,2018-10-31,"['라미 말렉', '조셉 마젤로', '루시 보인턴', '벤 하디', '귈림 리']"
26,검사외전,이일형,쇼박스,2016-02-03,"['황정민', '강동원']"
27,엑시트,이상근,씨제이이엔엠,2019-07-31,"['조정석', '윤아']"
28,관상,한재림,쇼박스,2013-09-11,"['송강호', '이정재', '백윤식', '조정석', '이종석', '김혜수']"
29,아이언맨 3,쉐인 블랙,월트디즈니스튜디오스코리아,2013-04-25,"['로버트 다우니 주니어', '기네스 팰트로', '벤 킹슬리', '돈 치들', '가이 피어스', '레베카 홀']"
30,설국열차,봉준호,씨제이이엔엠,2013-08-01,"['크리스 에반스', '송강호', '에드 해리스', '존 허트', '틸다 스윈튼', '제이미 벨', '옥타비아 스펜서', '이완 브렘너', '알리슨 필', '고아성']"
31,캡틴 아메리카: 시빌 워,안소니 루소,월트디즈니스튜디오스코리아,2016-04-27,"['로버트 다우니 주니어', '크리스 에반스', '스칼릿 조핸슨']"
32,수상한 그녀,황동혁,씨제이이엔엠,2014-01-22,"['심은경', '나문희', '박인환', '성동일', '이진욱']"
33,해적: 바다로 간 산적,이석훈,롯데엔터테인먼트,2014-08-06,"['김남길', '손예진']"
34,국가대표,김용화,쇼박스,2009-07-29,"['하정우', '성동일', '김지석', '김동욱', '최재환', '이재응', '이은성']"
35,백두산,김병서,씨제이이엔엠,2019-12-19,"['이병헌', '하정우', '마동석', '전혜진', '수지']"
36,과속스캔들,강형철,롯데엔터테인먼트,2008-12-03,"['차태현', '박보영', '왕석현']"
37,탑건: 매버릭,조셉 코신스키,롯데컬처웍스롯데엔터테인먼트,2022-06-22,"['톰 크루즈', '제니퍼 코넬리', '마일즈 텔러']"
38,스파이더맨: 파 프롬 홈,존 왓츠,소니픽쳐스엔터테인먼트코리아극장배급지점,2019-07-02,"['톰 홀랜드', '사무엘 L. 잭슨', '젠데이아 콜먼']"
39,공조,김성훈,씨제이이엔엠,2017-01-18,"['현빈', '유해진', '김주혁']"
40,트랜스포머 3,마이클 베이,씨제이이엔엠,2011-06-29,"['샤이아 라보프', '로지 헌팅턴 휘틀리', '조쉬 더하멜', '휴고 위빙', '패트릭 뎀시', '레너드 니모이', '타이레스 깁슨', '존 말코비치', '켄 정', '프란시스 맥도맨드', '존 터투로']"
41,히말라야,이석훈,씨제이이엔엠,2015-12-16,"['황정민', '정우']"
42,미션임파서블:고스트프로토콜,브래드 버드,씨제이이엔엠,2011-12-15,"['톰 크루즈', '제레미 레너']"
43,스파이더맨: 노 웨이 홈,존 왓츠,소니픽쳐스엔터테인먼트코리아극장배급지점,2021-12-15,"['톰 홀랜드', '젠데이아 콜먼', '베네딕트 컴버배치', '존 파브로', '제이콥 배덜런', '마리사 토메이', '알프리드 몰리나']"
44,트랜스포머: 패자의 역습,마이클 베이,씨제이이엔엠,2009-06-24,"['샤이아 라보프', '메간 폭스', '휴고 위빙', '조쉬 더하멜', '존 터투로']"
45,밀정,김지운,워너브러더스 코리아,2016-09-07,"['송강호', '공유']"
46,최종병기 활,김한민,롯데엔터테인먼트,2011-08-10,"['박해일', '류승룡', '김무열', '문채원']"
47,써니,강형철,씨제이이엔엠,2011-05-04,"['유호정', '심은경', '강소라', '고수희', '김민영', '홍진희', '박진주', '이연경', '남보라', '김보미', '민효린']"
48,한산: 용의 출현,김한민,롯데컬처웍스롯데엔터테인먼트,2022-07-27,"['박해일', '변요한', '안성기', '손현주', '김성규', '김성균', '김향기', '택연', '공명', '박지환', '조재윤']"
49,스파이더맨: 홈 커밍,존 왓츠,소니픽쳐스엔터테인먼트코리아극장배급지점,2017-07-05,"['톰 홀랜드', '마이클 키튼']"
50,1987,장준환,씨제이이엔엠,2017-12-27,"['김윤석', '하정우', '유해진', '김태리', '박희순', '이희준']"
51,베를린,류승완,씨제이이엔엠,2013-01-30,"['하정우', '한석규', '류승범', '전지현', '이경영']"
52,마스터,조의석,씨제이이엔엠,2016-12-21,"['이병헌', '강동원', '김우빈', '엄지원', '오달수', '진경']"
53,터널,김성훈,쇼박스,2016-08-10,"['하정우', '배두나', '오달수']"
54,어벤져스,조스 웨던,월트디즈니스튜디오스코리아,2012-04-26,"['로버트 다우니 주니어', '스칼릿 조핸슨', '크리스 헴스워스', '크리스 에반스', '마크 러팔로', '제레미 레너', '사무엘 L. 잭슨', '톰 히들스턴']"
55,내부자들,우민호,쇼박스,2015-11-19,"['이병헌', '조승우', '백윤식']"
56,인천상륙작전,이재한,씨제이이엔엠,2016-07-27,"['이정재', '이범수', '리암 니슨', '진세연']"
57,공조2: 인터내셔날,이석훈,씨제이이엔엠,2022-09-07,"['현빈', '유해진', '윤아', '다니엘 헤니', '진선규']"
58,은밀하게 위대하게,장철수,쇼박스,2013-06-05,"['김수현', '박기웅', '이현우', '손현주']"
59,곡성,나홍진,이십세기폭스코리아,2016-05-12,"['곽도원', '황정민', '쿠니무라 준', '천우희', '김환희']"
60,범죄도시,강윤성,플러스엠 엔터테인먼트,2017-10-03,"['마동석', '윤계상']"
61,"좋은 놈, 나쁜 놈, 이상한 놈",김지운,씨제이이엔엠,2008-07-17,"['송강호', '이병헌', '정우성']"
62,늑대소년,조성희,씨제이이엔엠,2012-10-31,"['송중기', '박보영']"
63,군함도,류승완,씨제이이엔엠,2017-07-26,"['황정민', '소지섭', '송중기', '이정현', '김수안']"
64,미션 임파서블: 폴아웃,크리스토퍼 맥쿼리,롯데컬처웍스롯데엔터테인먼트,2018-07-25,"['톰 크루즈', '레베카 퍼거슨', '헨리 카빌', '사이먼 페그']"
65,다크 나이트 라이즈,크리스토퍼 놀란,워너브러더스 코리아,2012-07-19,"['크리스찬 베일', '조셉 고든 레빗', '게리 올드만', '앤 해서웨이', '톰 하디', '마리옹 꼬띠아르', '마이클 케인', '모건 프리먼']"
66,아저씨,이정범,씨제이이엔엠,2010-08-04,"['원빈', '김새론']"
67,사도,이준익,쇼박스,2015-09-16,"['송강호', '유아인', '문근영']"
68,전우치,최동훈,씨제이이엔엠,2009-12-23,"['강동원', '김윤석', '임수정', '유해진']"
69,미션 임파서블: 로그네이션,크리스토퍼 맥쿼리,롯데엔터테인먼트,2015-07-30,"['톰 크루즈', '제레미 레너', '레베카 퍼거슨', '사이먼 페그', '알렉 볼드윈']"
70,킹스맨 : 시크릿 에이전트,매튜 본,이십세기폭스코리아,2015-02-11,"['콜린 퍼스', '태런 에저튼', '사무엘 L. 잭슨']"
71,연평해전,김학순,넥스트엔터테인먼트월드,2015-06-24,"['김무열', '진구', '이현우']"
72,인셉션,크리스토퍼 놀란,디스테이션,2010-07-21,"['레오나르도 디카프리오', '와타나베 켄', '조셉 고든 레빗', '마리옹 꼬띠아르', '엘리엇 페이지', '톰 하디']"
73,레미제라블,톰 후퍼,유니버설픽쳐스인터내셔널 코리아,2012-12-19,"['휴 잭맨', '앤 해서웨이', '러셀 크로우', '아만다 사이프리드', '헬레나 본햄 카터', '사샤 바론 코헨']"
74,닥터 스트레인지: 대혼돈의 멀티버스,샘 레이미,월트디즈니스튜디오스코리아,2022-05-04,"['베네딕트 컴버배치', '엘리자베스 올슨']"
75,캡틴 마블,라이언 플렉,월트디즈니스튜디오스코리아,2019-03-06,"['브리 라슨', '사무엘 L. 잭슨', '벤 멘델슨', '주드 로']"
76,쥬라기 월드: 폴른 킹덤,후안 안토니오 바요나,유니버설픽쳐스인터내셔널 코리아,2018-06-06,"['크리스 프랫', '브라이스 달라스 하워드']"
77,청년경찰,김주환,롯데엔터테인먼트,2017-08-09,"['박서준', '강하늘']"
78,숨바꼭질,허정,넥스트엔터테인먼트월드,2013-08-14,"['손현주', '문정희', '전미선']"
79,덕혜옹주,허진호,롯데엔터테인먼트,2016-08-03,"['손예진', '박해일']"
80,더 테러 라이브,김병우,롯데엔터테인먼트,2013-07-31,"['하정우', '이경영', '전혜진']"
81,쥬라기 월드,콜린 트레보로우,유니버설픽쳐스인터내셔널 코리아,2015-06-11,"['크리스 프랫', '브라이스 달라스 하워드', '빈센트 도노프리오', '타이 심킨스', '닉 로빈슨']"
82,의형제,장훈,쇼박스,2010-02-04,"['송강호', '강동원']"
83,감시자들,김병서,넥스트엔터테인먼트월드,2013-07-03,"['설경구', '정우성', '한효주']"
84,2012,롤랜드 에머리히,한국소니픽쳐스릴리징브에나비스타영화,2009-11-12,"['존 쿠삭', '아만다 피트', '치웨텔 에지오포', '탠디 뉴튼', '올리버 플랫']"
85,앤트맨과 와스프,페이튼 리드,월트디즈니스튜디오스코리아,2018-07-04,"['폴 러드', '에반젤린 릴리', '마이클 더글라스', '미셸 파이퍼', '로렌스 피시번', '마이클 페나', '해나 존-케이먼']"
86,닥터 스트레인지,스콧 데릭슨,월트디즈니스튜디오스코리아,2016-10-26,"['베네딕트 컴버배치', '틸다 스윈튼', '치웨텔 에지오포', '레이첼 맥아담스', '매즈 미켈슨']"
87,검은 사제들,장재현,씨제이이엔엠,2015-11-05,"['김윤석', '강동원']"
88,안시성,김광식,넥스트엔터테인먼트월드,2018-09-19,"['조인성', '남주혁', '박성웅']"
89,블랙 팬서,라이언 쿠글러,월트디즈니스튜디오스코리아,2018-02-14,['채드윅 보스만']
90,완득이,이한,씨제이이엔엠,2011-10-20,"['김윤석', '유아인']"
91,트랜스포머: 사라진 시대,마이클 베이,씨제이이엔엠,2014-06-25,"['마크 월버그', '니콜라 펠츠', '잭 레이너', '스탠리 투치', '리빙빙']"
92,완벽한 타인,이재규,롯데컬처웍스롯데엔터테인먼트,2018-10-31,"['유해진', '조진웅', '이서진', '염정아', '김지수', '송하윤', '윤경호']"
93,조커,토드 필립스,워너브러더스 코리아,2019-10-02,['호아킨 피닉스']
94,월드 워 Z,마크 포스터,롯데엔터테인먼트,2013-06-20,"['브래드 피트', '미레유 에노스']"
95,타워,김지훈,씨제이이엔엠,2012-12-25,"['설경구', '손예진', '김상경']"
96,미녀와 야수,빌 콘돈,월트디즈니스튜디오스코리아,2017-03-16,"['엠마 왓슨', '댄 스티븐스', '루크 에반스']"
97,추격자,나홍진,쇼박스,2008-02-14,"['김윤석', '하정우']"
98,독전,이해영,넥스트엔터테인먼트월드,2018-05-22,"['조진웅', '류준열', '김주혁', '김성령', '박해준']"
99,쿵푸팬더 2,여인영,씨제이이엔엠,2011-05-26,"['잭 블랙', '더스틴 호프만', '성룡', '안젤리나 졸리', '세스 로건', '루시 리우', '데이빗 크로스', '제임스 홍', '양자경', '장 끌로드 반담', '빅터 가버', '게리 올드만', '데니스 헤이스버트']"
100,아쿠아맨,제임스 완,워너브러더스 코리아,2018-12-19,"['앰버 허드', '제이슨 모모아', '윌렘 대포', '패트릭 윌슨', '니콜 키드먼', '돌프 룬드그렌']"
101,공작,윤종빈,씨제이이엔엠,2018-08-08,"['황정민', '이성민', '조진웅', '주지훈']"
102,인사이드 아웃,피트 닥터,월트디즈니스튜디오스코리아,2015-07-09,"['에이미 포엘러', '필리스 스미스', '민디 캘링', '빌 헤이더', '루이스 블랙', '케이틀린 디아스', '카일 맥라클란', '다이안 레인']"
103,킹스맨: 골든 서클,매튜 본,이십세기폭스코리아,2017-09-27,"['태런 에저튼', '줄리안 무어', '콜린 퍼스']"
104,바람과 함께 사라지다,김주호,넥스트엔터테인먼트월드,2012-08-08,"['차태현', '오지호', '민효린', '성동일', '신정근', '고창석']"
105,마션,리들리 스콧,월트디즈니스튜디오스코리아,2015-10-08,"['크리스틴 위그', '제시카 차스테인', '맷 데이먼', '케이트 마라', '제프 다니엘스', '세바스찬 스탠']"
106,토르: 라그나로크,타이카 와이티티,월트디즈니스튜디오스코리아,2017-10-25,"['크리스 헴스워스', '톰 히들스턴', '케이트 블란쳇', '마크 러팔로']"
107,어메이징 스파이더맨,마크 웹,한국소니픽쳐스릴리징브에나비스타영화,2012-06-28,"['앤드류 가필드', '엠마 스톤', '리스 이판', '마틴 쉰', '샐리 필드']"
108,"님아, 그 강을 건너지 마오",진모영,CGV아트하우스,2014-11-27,"['조병만', '강계열']"
109,조선명탐정 : 각시투구꽃의 비밀,김석윤,쇼박스,2011-01-27,"['김명민', '오달수', '한지민']"
110,봉오동 전투,원신연,쇼박스,2019-08-07,"['유해진', '류준열', '조우진']"
111,군도: 민란의 시대,윤종빈,쇼박스,2014-07-23,"['하정우', '강동원']"
112,남산의 부장들,우민호,쇼박스,2020-01-22,"['이병헌', '이성민', '곽도원', '이희준', '김소진']"
113,라이온 킹,존 파브로,월트디즈니스튜디오스코리아,2019-07-17,"['도날드 글로버', '세스 로건', '치웨텔 에지오포', '제임스 얼 존스', '빌리 아이크너', '알프리 우다드', '비욘세']"
114,범죄와의 전쟁: 나쁜놈들 전성시대,윤종빈,쇼박스,2012-02-02,"['최민식', '하정우']"
115,주토피아,리치 무어,월트디즈니스튜디오스코리아,2016-02-17,"['지니퍼 굿윈', '제이슨 베이트먼', '샤키라', '알란 터딕', '이드리스 엘바', 'J.K. 시몬스']"
116,엣지 오브 투모로우,더그 라이만,워너브러더스 코리아,2014-06-04,"['톰 크루즈', '에밀리 블런트', '빌 팩스톤']"
117,쿵푸 팬더,마크 오스본,씨제이이엔엠,2008-06-05,"['잭 블랙', '더스틴 호프만', '성룡', '루시 리우', '안젤리나 졸리', '이안 맥쉐인', '데이빗 크로스', '세스 로건']"
118,신비한 동물사전,데이빗 예이츠,워너브러더스 코리아,2016-11-16,"['에디 레드메인', '캐서린 워터스턴', '콜린 파렐', '앨리슨 수돌']"
119,도가니,황동혁,씨제이이엔엠,2011-09-22,"['공유', '정유미']"
120,내 아내의 모든 것,민규동,넥스트엔터테인먼트월드,2012-05-17,"['임수정', '이선균', '류승룡']"
121,나쁜 녀석들: 더 무비,손용호,씨제이이엔엠,2019-09-11,"['마동석', '김상중', '김아중', '장기용']"
122,판도라,박정우,넥스트엔터테인먼트월드,2016-12-07,"['김남길', '김주현', '정진영', '김영애', '문정희', '김대명']"
123,터미네이터 : 미래전쟁의 시작,맥지,롯데엔터테인먼트,2009-05-21,"['크리스찬 베일', '샘 워싱턴', '안톤 옐친', '문 블러드굿']"
124,맘마미아!,필리다 로이드,유니버설픽쳐스인터내셔널 코리아,2008-09-03,"['메릴 스트립', '피어스 브로스넌', '콜린 퍼스', '스텔란 스카스가드', '아만다 사이프리드']"
125,연가시,박정우,씨제이이엔엠,2012-07-05,"['김명민', '문정희', '김동완', '이하늬']"
126,아이언맨 2,존 파브로,씨제이이엔엠,2010-04-29,"['로버트 다우니 주니어', '기네스 팰트로', '돈 치들', '스칼릿 조핸슨', '미키 루크']"
127,강철비,양우석,넥스트엔터테인먼트월드,2017-12-14,"['정우성', '곽도원']"
128,해리포터와 죽음의 성물2,데이빗 예이츠,워너브러더스 코리아,2011-07-13,"['다니엘 래드클리프', '엠마 왓슨', '루퍼트 그린트']"
129,다만 악에서 구하소서,홍원찬,씨제이이엔엠,2020-08-05,"['황정민', '이정재', '박정민', '박소이']"
130,헌트,이정재,플러스엠 엔터테인먼트,2022-08-10,"['이정재', '정우성', '전혜진', '허성태', '고윤정', '김종수', '정만식']"
131,아이언맨,존 파브로,씨제이이엔엠,2008-04-30,"['로버트 다우니 주니어', '테렌스 하워드', '제프 브리지스', '기네스 팰트로']"
132,엑스맨: 데이즈 오브 퓨처 패스트,브라이언 싱어,이십세기폭스코리아,2014-05-22,"['제니퍼 로렌스', '휴 잭맨', '제임스 맥어보이', '마이클 패스벤더']"
133,강철중: 공공의 적 1-1,강우석,씨제이이엔엠,2008-06-19,"['설경구', '정재영']"
134,아가씨,박찬욱,씨제이이엔엠,2016-06-01,"['김민희', '김태리', '하정우', '조진웅']"
135,어메이징 스파이더맨 2,마크 웹,월트디즈니스튜디오스코리아,2014-04-23,"['엠마 스톤', '앤드류 가필드']"
136,인디아나 존스 4 : 크리스탈 해골의 왕국,스티븐 스필버그,씨제이이엔엠,2008-05-22,"['해리슨 포드', '케이트 블란쳇', '카렌 알렌', '샤이아 라보프', '레이 윈스턴']"
137,용의자,원신연,쇼박스,2013-12-24,"['공유', '박희순', '조성하', '유다인', '김성균', '조재윤']"
138,건축학개론,이용주,롯데엔터테인먼트,2012-03-22,"['엄태웅', '한가인', '이제훈', '수지']"
139,미이라 3:황제의 무덤,롭 코헨,유니버설픽쳐스인터내셔널 코리아,2008-07-30,"['브렌든 프레이저', '이연걸', '마리아 벨로', '존 한나', '양자경', '루크 포드', '이사벨라 롱']"
140,7급 공무원,신태라,롯데엔터테인먼트,2009-04-22,"['김하늘', '강지환']"
141,다크 나이트,크리스토퍼 놀란, 해리슨앤컴퍼니,2008-08-06,"['크리스찬 베일', '히스 레저', '아론 에크하트']"
142,댄싱퀸,이석훈,씨제이이엔엠,2012-01-18,"['황정민', '엄정화']"
143,우리 생애 최고의 순간,임순례,싸이더스,2008-01-10,"['문소리', '김정은', '엄태웅', '김지영', '조은지', '차민지']"
144,꾼,장창원,쇼박스,2017-11-22,"['현빈', '유지태', '배성우', '박성웅', '나나', '안세하']"
145,혹성탈출: 반격의 서막,맷 리브스,이십세기폭스코리아,2014-07-10,"['앤디 서키스', '게리 올드만', '제이슨 클락', '주디 그리어', '케리 러셀']"
146,타짜-신의 손,강형철,롯데엔터테인먼트,2014-09-03,"['T.O.P', '신세경', '곽도원', '이하늬']"
147,쿵푸팬더3,알레산드로 칼로니,씨제이이엔엠,2016-01-28,"['잭 블랙', '안젤리나 졸리', '성룡', '세스 로건', '루시 리우', '데이빗 크로스', '제임스 홍', '케이트 허드슨', '브라이언 크랜스톤', '더스틴 호프만', 'J.K. 시몬스']"
148,캡틴 아메리카: 윈터 솔져,안소니 루소,월트디즈니스튜디오스코리아,2014-03-26,"['스칼릿 조핸슨', '크리스 에반스', '사무엘 L. 잭슨']"
149,박수건달,조진규,쇼박스,2013-01-09,"['박신양', '김정태', '엄지원', '정혜영']"
150,베놈,루벤 플레셔,소니픽쳐스엔터테인먼트코리아극장배급지점,2018-10-03,"['톰 하디', '미셸 윌리엄스']"
151,조선명탐정 : 사라진 놉의 딸,김석윤,쇼박스,2015-02-11,"['김명민', '오달수', '이연희']"
152,역린,이재규,롯데엔터테인먼트,2014-04-30,"['현빈', '정재영', '조정석', '조재현', '한지민']"
153,매드 맥스: 분노의 도로,조지 밀러,워너브러더스 코리아,2015-05-14,"['톰 하디', '샤를리즈 테론', '니콜라스 홀트']"
154,남한산성,황동혁,씨제이이엔엠,2017-10-03,"['이병헌', '김윤석', '박해일', '고수', '박희순']"
155,반도,연상호,넥스트엔터테인먼트월드,2020-07-15,"['강동원', '이정현']"
156,데드풀 2,데이빗 레이치,이십세기폭스코리아,2018-05-16,"['라이언 레이놀즈', '조슈 브롤린', '재지 비츠', '모레나 바카린']"
157,쌍화점,유하,쇼박스,2008-12-30,"['조인성', '주진모', '송지효']"
158,암수살인,김태균,쇼박스,2018-10-03,"['김윤석', '주지훈']"
159,국가부도의 날,최국희,씨제이이엔엠,2018-11-28,"['김혜수', '유아인', '허준호', '조우진', '뱅상 카셀']"
160,신기전,김유진,씨제이이엔엠,2008-09-04,"['정재영', '한은정', '허준호']"
161,미이라,알렉스 커츠먼,유니버설픽쳐스인터내셔널 코리아,2017-06-06,"['톰 크루즈', '소피아 부텔라', '애나벨 월리스']"
162,82년생 김지영,김도영,롯데컬처웍스롯데엔터테인먼트,2019-10-23,"['정유미', '공유']"
163,분노의 질주: 홉스&쇼,데이빗 레이치,유니버설픽쳐스인터내셔널 코리아,2019-08-14,"['드웨인 존슨', '제이슨 스타뎀', '이드리스 엘바', '바네사 커비']"
164,분노의 질주: 더 익스트림,F. 게리 그레이,유니버설픽쳐스인터내셔널 코리아,2017-04-12,"['빈 디젤', '드웨인 존슨', '샤를리즈 테론', '제이슨 스타뎀']"
165,너의 이름은.,신카이 마코토,플러스엠 엔터테인먼트,2017-01-04,"['카미키 류노스케', '카미시라이시 모네']"
166,모가디슈,류승완,롯데컬처웍스롯데엔터테인먼트,2021-07-28,"['김윤석', '조인성', '허준호', '구교환', '김소진', '정만식']"
167,인턴,낸시 마이어스,워너브러더스 코리아,2015-09-24,"['로버트 드 니로', '앤 해서웨이']"
168,라라랜드,데이미언 셔젤,판씨네마,2016-12-07,"['엠마 스톤', '라이언 고슬링']"
169,귀향,조정래,와우픽쳐스,2016-02-24,"['강하나', '최리', '손숙', '황화순', '정무성', '서미지', '류신', '임성철', '오지혜', '정인기', '김민수', '이승현']"
170,리얼 스틸,숀 레비,한국소니픽쳐스릴리징브에나비스타영화,2011-10-12,"['휴 잭맨', '에반젤린 릴리', '다코타 고요']"
171,신의 한 수,조범구,쇼박스,2014-07-03,"['정우성', '이범수', '안성기', '김인권', '이시영']"
172,코코,리 언크리치,월트디즈니스튜디오스코리아,2018-01-11,"['벤자민 브랫', '가엘 가르시아 베르날', '안소니 곤잘레스 ']"
173,부러진 화살,정지영,넥스트엔터테인먼트월드,2012-01-18,"['안성기', '박원상', '나영희', '김지호']"
174,스파이,이승준,씨제이이엔엠,2013-09-05,"['설경구', '문소리', '다니엘 헤니']"
175,그것만이 내 세상,최성현,씨제이이엔엠,2018-01-17,"['이병헌', '윤여정', '박정민']"
176,이끼,강우석,씨제이이엔엠,2010-07-14,"['정재영', '박해일', '유준상', '유선', '허준호', '유해진', '김상호', '김준배']"
177,토이 스토리 4,조시 쿨리,월트디즈니스튜디오스코리아,2019-06-20,"['톰 행크스', '애니 파츠', '토니 헤일', '팀 알렌']"
178,돈,박누리,쇼박스,2019-03-20,"['류준열', '유지태', '조우진']"
179,포화속으로,이재한,롯데엔터테인먼트,2010-06-16,"['차승원', '권상우', 'T.O.P', '김승우']"
180,맨 인 블랙 3,배리 소넨필드,한국소니픽쳐스릴리징브에나비스타영화,2012-05-24,"['윌 스미스', '토미 리 존스', '조슈 브롤린']"
181,어바웃 타임,리차드 커티스,유니버설픽쳐스인터내셔널 코리아,2013-12-05,"['도널 글리슨', '레이첼 맥아담스']"
182,악인전,이원태,에이스메이커무비웍스,2019-05-15,"['마동석', '김무열', '김성규']"
183,올빼미,안태진,넥스트엔터테인먼트월드,2022-11-23,"['류준열', '유해진']"
184,슈퍼배드 3,카일 발다,유니버설픽쳐스인터내셔널 코리아,2017-07-26,"['스티브 카렐', '트레이 파커', '크리스틴 위그']"
185,데드풀,팀 밀러,월트디즈니스튜디오스코리아,2016-02-17,['라이언 레이놀즈']
186,시동,최정열,넥스트엔터테인먼트월드,2019-12-18,"['마동석', '박정민', '정해인', '염정아', '최성은']"
187,아이 캔 스피크,김현석,롯데엔터테인먼트,2017-09-21,"['나문희', '이제훈']"
188,스타워즈: 깨어난 포스,J.J. 에이브럼스,월트디즈니스튜디오스코리아,2015-12-17,"['해리슨 포드', '마크 해밀', '캐리 피셔', '도널 글리슨', '그웬돌린 크리스티', '사이먼 페그', '오스카 아이삭', '막스 폰 시도우', '존 보예가', '데이지 리들리', '아담 드라이버']"
189,영웅,윤제균,씨제이이엔엠,2022-12-21,"['정성화', '김고은', '나문희', '조재윤', '배정남', '이현우', '박진주']"
190,분노의 질주: 더 세븐,제임스 완,유니버설픽쳐스인터내셔널 코리아,2015-04-01,"['빈 디젤', '폴 워커', '드웨인 존슨', '제이슨 스타뎀', '미셸 로드리게즈']"
191,터미네이터 제니시스,앨런 테일러,롯데엔터테인먼트,2015-07-02,"['아놀드 슈왈제네거', '에밀리아 클라크', '제이 코트니', '제이슨 클락', 'J.K. 시몬스']"
192,그래비티,알폰소 쿠아론,스튜디오디에이치엘,2013-10-17,"['산드라 블록', '조지 클루니']"
193,마녀,박훈정,워너브러더스 코리아,2018-06-27,"['김다미', '조민수', '박희순', '최우식']"
194,탐정: 리턴즈,이언희,씨제이이엔엠,2018-06-13,"['권상우', '성동일', '이광수']"
